,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
295,2021-05-15,SK,554200,505443.0,48757.0,47.02,42.88,4.14,,,,,,
296,2021-05-15,AB,1850072,1529798.0,320274.0,41.84,34.6,7.24,,,,,,
297,2021-05-15,BC,2392600,2262170.0,130430.0,46.48,43.95,2.53,,,,,,
298,2021-05-15,YT,26242,3006.0,23236.0,62.4,7.15,55.26,,,,,,
299,2021-05-15,NT,28353,5397.0,22956.0,62.78,11.95,50.83,,,,,,
300,2021-05-15,NU,16708,3406.0,13302.0,42.46,8.65,33.8,,,,,,
301,2021-05-22,CAN,19232248,17477501.0,1754747.0,50.6,45.99,4.62,,,,,,
302,2021-05-22,NL,260190,249731.0,10459.0,49.83,47.83,2.0,,,,,,
303,2021-05-22,PEI,71327,59028.0,12299.0,44.68,36.98,7.7,,,,,,
304,2021-05-22,NS,460948,419495.0,41453.0,47.07,42.83,4.23,,,,,,
305,2021-05-22,NB,386865,350003.0,36862.0,49.5,44.79,4.72,,,,,,
306,2021-05-22,QC,4602185,4155234.0,446951.0,53.67,48.46,5.21,,,,,,
307,2021-05-22,ON,7537294,7005191.0,532103.0,51.16,47.54,3.61,,,,,,
308,2021-05-22,MB,643349,556554.0,86795.0,46.64,40.35,6.29,,,,,,
309,2021-05-22,SK,604637,546507.0,58130.0,51.3,46.37,4.93,,,,,,
310,2021-05-22,AB,1854382,1533466.0,320916.0,41.94,34.68,7.26,,,,,,
311,2021-05-22,BC,2738510,2590890.0,147620.0,53.2,50.33,2.87,,,,,,
312,2021-05-22,YT,26648,2934.0,23714.0,63.37,6.98,56.39,,,,,,
313,2021-05-22,NT,28883,5547.0,23336.0,63.96,12.28,51.67,,,,,,
314,2021-05-22,NU,17030,2921.0,14109.0,43.27,7.42,35.85,,,,,,
315,2021-05-29,CAN,21579682,19410408.0,2169274.0,56.78,51.07,5.71,,,,,,
316,2021-05-29,NL,290038,278592.0,11446.0,55.55,53.36,2.19,,,,,,
317,2021-05-29,PEI,79800,66370.0,13430.0,49.99,41.58,8.41,,,,,,
318,2021-05-29,NS,537868,494407.0,43461.0,54.92,50.48,4.44,,,,,,
319,2021-05-29,NB,432047,391203.0,40844.0,55.29,50.06,5.23,,,,,,
320,2021-05-29,QC,5077136,4518964.0,558172.0,59.21,52.7,6.51,,,,,,
321,2021-05-29,ON,8298869,7609233.0,689636.0,56.32,51.64,4.68,,,,,,
322,2021-05-29,MB,728662,623026.0,105636.0,52.83,45.17,7.66,,,,,,
323,2021-05-29,SK,642300,559140.0,83160.0,54.49,47.44,7.06,,,,,,
324,2021-05-29,AB,2357833,1977913.0,379920.0,53.32,44.73,8.59,,,,,,
325,2021-05-29,BC,3061385,2880801.0,180584.0,59.47,55.96,3.51,,,,,,
326,2021-05-29,YT,26952,2815.0,24137.0,64.09,6.69,57.4,,,,,,
327,2021-05-29,NT,29562,5657.0,23905.0,65.46,12.53,52.93,,,,,,
328,2021-05-29,NU,17230,2287.0,14943.0,43.78,5.81,37.97,,,,,,
329,2021-06-05,CAN,23314638,19962187.0,3051568.0,61.35,52.52,8.03,23286248.0,19938084.0,3046408.0,70.14,60.06,9.18
330,2021-06-05,NL,318238,,17355.0,60.95,,3.32,316188.0,,14432.0,67.59,,3.09
331,2021-06-05,PEI,89719,75322.0,14397.0,56.21,47.19,9.02,89719.0,75322.0,14397.0,63.81,53.57,10.24
332,2021-06-05,NS,590905,546361.0,44544.0,60.34,55.79,4.55,590905.0,546361.0,44544.0,67.83,62.72,5.11
333,2021-06-05,NB,484382,437314.0,47068.0,61.98,55.96,6.02,484382.0,437314.0,47068.0,69.86,63.07,6.79
